ticker,vol_2020,vol_2021,vol_2022,vol_2023,vol_2024,vol_2025,vol_combined,start_date
TQQQ,71036712527.0,33818736998.0,85012280447.0,62034735498.0,27844577926.0,33643124299.0,313390167695.0,2010-02-11
SPY,26993012243.0,15370533205.0,18832045224.0,16249663196.0,10527496649.0,13108041419.79993,101080791936.79993,2000-01-03
SOXL,4864821547.0,3347482844.0,18027573530.0,17021944038.0,17541321138.0,28558116779.0,89361259876.0,2010-03-11
XLF,17819223802.0,14033316697.0,14324655439.0,11213622194.0,9548826200.0,9635012799.0,76574657131.0,2000-01-03
XLE,18079646685.0,17175962496.0,16466007560.0,9502402647.0,6552288914.0,7121843209.0,74898151511.0,2000-01-03
QQQ,10008722596.0,8855483117.0,13577131520.0,10168464181.0,6998695906.0,8778344339.499947,58386841659.49995,2000-01-03
EEM,15101585267.0,10238811692.0,11902589006.0,7200327232.0,6241622528.0,5706848484.0,56391784209.0,2003-04-14
HYG,9232245928.0,6827820327.0,11151219723.0,10385807919.0,8742890408.0,9266674816.0,55606659121.0,2007-04-11
TSLL,0.0,0.0,333637825.0,4121303009.0,11676442196.0,38782728714.0,54914111744.0,2022-08-09
SOXS,2919828.9380000075,33743936.489998415,363714943.6799933,1563729923.6999457,9692948201.900013,40769372979.0,52426429813.70795,2010-03-11
FXI,6515048970.0,5840314238.0,10433340643.0,8304048090.0,11069220109.0,8923595771.0,51085567821.0,2004-10-08
EWZ,10428859533.0,9935275996.0,8562684542.0,6836873324.0,5464952444.0,6140956247.0,47369602086.0,2005-01-03
XLU,9398111601.0,6599653839.0,8235108281.0,7389341913.0,5766467892.0,4904724842.0,42293408368.0,2000-01-03
TLT,3126377347.0,4168606530.0,5267170163.0,7863812805.0,10098606595.0,8775226967.0,39299800407.0,2002-07-30
OOTO,0.0,5233978037.0,27029955941.0,4325521331.0,1659347142.0,828434715.0,39077237166.0,2021-06-10
IWM,6796344842.0,6236221687.0,5950415032.0,6319119952.0,6075910676.0,6589927112.0,37967939301.0,2000-05-26
GDX,10218979916.0,5500287385.0,6189174603.0,5187633194.0,5145285162.0,4861124638.0,37102484898.0,2006-05-22
SLV,8110739305.0,6734767499.0,6183165751.0,4053413375.0,5250519338.0,6300392013.0,36632997281.0,2006-04-28
BITO,0.0,1503949946.0,7451780705.0,9708305275.0,9401103497.0,4907400820.0,32972540243.0,2021-10-19
LQD,4007186993.0,4007291829.0,5352002717.0,5570563625.0,6662171393.0,6889687190.0,32488903747.0,2002-07-30
EFA,8319963254.0,5974412717.0,7493120626.0,4171378004.0,2975755314.0,3419250392.0,32353880307.0,2001-08-27
TZA,562807955.0000136,2645965668.600002,3307528501.0,3214861460.0,6424647835.0,9230287626.0,25386099045.600014,2008-11-05
KWEB,624196953.0,2166544765.0,5759432753.0,5006083540.0,5400758524.0,5257352592.0,24214369127.0,2013-08-01
