ticker,entry_price,shares,initial_allocation_usd,initial_weight,final_price,final_value_usd,final_weight
EWU,21.8096,45.85136820482723,1000.0,0.1,43.98,2016.5431736483015,0.11850674013567065
EWY,39.3012,25.444515689088373,1000.0,0.1,97.06,2469.6446927829174,0.14513428011837196
IEI,101.515,9.850760971285032,1000.0,0.1,119.35,1175.6883219228685,0.06909199478957233
INDA,24.0556,41.57036199471225,1000.0,0.1,53.94,2242.3053259947787,0.13177416583238416
MBB,82.3005,12.150594467834338,1000.0,0.1,95.21,1156.8580992825073,0.06798539398364914
SPTL,28.1821,35.48351613258061,1000.0,0.1,26.45,938.5390017067572,0.055155376307282816
SQQQ,147249.877,0.006791177149845768,1000.0,0.1,68.4468,0.4648343441400633,2.7317046095016438e-05
TMF,161.6457,6.186369325011429,1000.0,0.1,37.42,231.4939401419277,0.013604267226150907
XHB,30.8461,32.41900921024052,1000.0,0.1,103.54,3356.6642136283035,0.1972619971073981
XLF,15.9772,62.589189595173124,1000.0,0.1,54.771,3428.072503317227,0.20145846745342497
