ticker,year,start_date,end_date,n_price_days,n_return_days,start_price,end_price,total_return,annualized_return,annualized_volatility,sharpe_ratio
GLD,2016,2016-01-04,2016-12-30,252,251,102.8,110.05,0.07052529182879375,0.08065241037209016,0.15670137987323104,0.19561034112710093
GLD,2017,2017-01-03,2017-12-29,251,251,110.25,123.9,0.12380952380952381,0.12439503198924079,0.10369991792700342,0.7174068550527594
GLD,2018,2018-01-02,2018-12-31,251,251,125.4,121.26,-0.03301435406698561,-0.01682212551649809,0.09819914993844597,-0.6804756004342615
GLD,2019,2019-01-02,2019-12-31,252,252,121.61,143.0,0.17589014061343633,0.1724087916489826,0.12244933956122794,0.9996688596901327
GLD,2020,2020-01-02,2020-12-31,253,253,144.2,178.45,0.23751733703190014,0.24080319898507963,0.20053758184708814,0.951458560673026
GLD,2021,2021-01-04,2021-12-31,252,252,181.82,171.02,-0.05939940600593985,-0.03381990102266241,0.13197795895316491,-0.6351052985476736
GLD,2022,2022-01-03,2022-12-30,251,251,168.52,169.64,0.0066460954189411225,0.002999398928427585,0.14955949146577127,-0.31426023591641555
GLD,2023,2023-01-03,2023-12-29,250,250,171.15,191.2,0.11714869997078581,0.12950405234828377,0.13374943828122385,0.5944253177431459
GLD,2024,2024-01-02,2024-12-31,252,252,190.96,242.48,0.2697947214076246,0.2493165083121014,0.15250673372330656,1.3069357886434179
GLD,2025,2025-01-02,2025-12-31,250,250,245.21,396.2007,0.615760776477305,0.5151657856738387,0.19894257423216544,2.3381912467413413
DBA,2016,2016-01-04,2016-12-30,252,251,17.5458,17.1675,-0.02156071538487836,-0.014196517064123018,0.12410240156386088,-0.5172866621045092
DBA,2017,2017-01-03,2017-12-29,251,251,17.159,16.1274,-0.060120053616178004,-0.057232423687724514,0.10517079921399684,-1.0196026319960996
DBA,2018,2018-01-02,2018-12-31,251,251,16.3079,14.7185,-0.09746196628627835,-0.08540649143527908,0.1129475114149219,-1.1988443989514057
DBA,2019,2019-01-02,2019-12-31,252,252,14.6924,14.6145,-0.005302060929460062,-0.0013098176840921072,0.10775516891033059,-0.47617036104124183
DBA,2020,2020-01-02,2020-12-31,253,253,14.5616,14.2439,-0.02181765740028574,-0.01527484400142654,0.14355842018809273,-0.4546918523894475
