pc_rank,variance_explained,ticker,loading
1,0.6039,VT,0.0805
1,0.6039,SPXL,0.0803
1,0.6039,UPRO,0.0803
1,0.6039,VOO,0.0803
1,0.6039,IWS,0.0799
2,0.0557,GLD,0.2377
2,0.0557,UGL,0.2355
2,0.0557,SGOL,0.2345
2,0.0557,IAU,0.2342
2,0.0557,BAR,0.2334
3,0.043,VDE,-0.1686
3,0.043,FENY,-0.1662
3,0.043,XLE,-0.1619
3,0.043,IYE,-0.1614
3,0.043,IXC,-0.1589
4,0.0286,XLU,-0.1714
4,0.0286,BAR,-0.1488
4,0.0286,UGL,-0.1481
4,0.0286,SGOL,-0.1439
4,0.0286,PHYS,-0.1436
5,0.026,PDBC,-0.203
5,0.026,BNO,-0.1977
5,0.026,GSG,-0.1968
5,0.026,DBC,-0.1937
5,0.026,DBO,-0.1933
6,0.0163,XLP,0.1936
6,0.0163,CALF,-0.1637
6,0.0163,IJS,-0.1563
6,0.0163,IWN,-0.1551
6,0.0163,XLV,0.147
7,0.0139,VRP,0.2829
7,0.0139,PFFD,0.2672
7,0.0139,FPE,0.2604
7,0.0139,PFF,0.2346
7,0.0139,VWOB,0.2123
8,0.0104,EEM,0.1904
8,0.0104,VWO,0.1844
8,0.0104,AAXJ,0.1785
8,0.0104,EEMV,0.1751
8,0.0104,XSOE,0.1747
9,0.0084,VRP,-0.2348
9,0.0084,TBF,-0.2227
9,0.0084,FPE,-0.1718
9,0.0084,XBI,0.1601
9,0.0084,IYR,0.1573
10,0.0065,TBF,-0.2666
10,0.0065,XLE,0.1983
10,0.0065,ANGL,0.1834
10,0.0065,VWOB,0.1802
10,0.0065,DBA,-0.173
11,0.0063,IBB,-0.321
11,0.0063,XBI,-0.3175
11,0.0063,XLV,-0.1921
11,0.0063,ICLN,-0.1837
11,0.0063,TAN,-0.1761
12,0.0052,EWZ,-0.3102
12,0.0052,ILF,-0.2616
12,0.0052,DBA,-0.223
12,0.0052,EWW,-0.2214
12,0.0052,SILJ,-0.1956
13,0.0051,ELV,0.3696
13,0.0051,IBB,0.2357
13,0.0051,VRP,0.2233
13,0.0051,XLV,0.2222
13,0.0051,INDA,0.2222
14,0.0047,TBF,0.2941
14,0.0047,GDX,-0.193
14,0.0047,GDXJ,-0.1905
14,0.0047,ITB,-0.19
14,0.0047,XHB,-0.1887
15,0.0042,EWJ,0.3468
15,0.0042,HYMB,0.2906
15,0.0042,URA,0.2703
15,0.0042,KSA,-0.2504
15,0.0042,DBA,0.2319
16,0.004,DBA,-0.5488
16,0.004,EWZ,-0.2241
16,0.004,HYMB,-0.2186
16,0.004,ILF,-0.203
16,0.004,DBO,0.171
17,0.004,INDA,-0.2928
17,0.004,EPI,-0.2787
17,0.004,TAN,0.2666
17,0.004,ICLN,0.2344
17,0.004,DXJ,-0.2326
18,0.0038,HYMB,-0.4257
18,0.0038,ICLN,-0.2726
18,0.0038,TAN,-0.2666
18,0.0038,EWJ,0.1768
18,0.0038,INDA,-0.173
19,0.0036,EWZ,-0.2628
19,0.0036,ILF,-0.2597
19,0.0036,ITB,-0.2422
19,0.0036,ICLN,-0.2263
19,0.0036,ANGL,0.2248
20,0.0036,SLV,0.2472
20,0.0036,INDA,0.2432
20,0.0036,SIVR,0.2403
20,0.0036,XHB,0.2315
20,0.0036,PSLV,0.2312
21,0.0034,DBA,0.3807
21,0.0034,DXJ,-0.291
21,0.0034,EPI,0.2666
21,0.0034,PSLV,-0.2331
21,0.0034,SLV,-0.2285
22,0.0029,TBF,-0.3648
22,0.0029,EPI,0.3197
22,0.0029,ANGL,-0.2539
22,0.0029,KSA,-0.2446
22,0.0029,INDA,0.1976
23,0.0029,ELV,-0.3984
23,0.0029,DBA,0.2671
23,0.0029,KSA,0.2393
23,0.0029,EWW,-0.2016
23,0.0029,VRP,0.1868
24,0.0027,HYMB,0.3309
24,0.0027,ELV,-0.3023
24,0.0027,ICLN,-0.2419
24,0.0027,KSA,-0.2209
24,0.0027,ANGL,-0.2203
25,0.0026,ANGL,-0.2557
25,0.0026,EWW,-0.2465
25,0.0026,KSA,0.1936
25,0.0026,TBF,-0.1872
25,0.0026,TAN,0.1739
26,0.0026,ELV,-0.3288
26,0.0026,HYMB,-0.3092
26,0.0026,ANGL,0.2899
26,0.0026,FALN,0.2322
26,0.0026,KSA,-0.2252
27,0.0025,URA,-0.3805
27,0.0025,TBF,0.2788
27,0.0025,DBA,0.247
27,0.0025,FALN,0.2358
27,0.0025,FTGC,-0.2294
28,0.0024,KSA,-0.465
28,0.0024,URA,-0.2088
28,0.0024,XRT,-0.2071
28,0.0024,HEFA,0.1895
28,0.0024,EWS,-0.1877
29,0.0023,URA,-0.2502
29,0.0023,EWW,0.2321
29,0.0023,LIT,-0.2146
29,0.0023,XYLD,-0.214
29,0.0023,ELV,-0.2092
30,0.0023,FTGC,0.5519
30,0.0023,URA,-0.3883
30,0.0023,ELV,0.1935
30,0.0023,KSA,0.1752
30,0.0023,EWT,-0.1745
