ticker,ann_return,ann_vol,sharpe,max_drawdown,avg_abs_corr,is_anchor,vol_combined,start_date
GLD,0.1447,0.1525,0.6214,0.218,0.1252,0,11184438366.0,2004-11-18
VOO,0.1292,0.1971,0.4019,0.3399,0.4417,1,6146809192.900016,2010-09-09
EWT,0.149,0.2559,0.3868,0.393,0.3442,0,7589805203.0,2004-01-02
URA,0.1518,0.3926,0.2594,0.5429,0.311,0,3138699244.0,2010-11-05
XME,0.133,0.3475,0.239,0.6172,0.3722,0,4534488449.0,2006-06-22
XLU,0.0889,0.2036,0.1912,0.3477,0.2445,0,42293408368.0,2000-01-03
ITB,0.1037,0.3261,0.1648,0.509,0.3445,0,3706594693.0,2006-05-05
BIZD,0.0771,0.2509,0.1082,0.5547,0.3243,0,968622043.0,2013-02-12
XLP,0.0658,0.1574,0.1006,0.2491,0.2713,0,19027573302.0,2000-01-03
VEA,0.0674,0.2011,0.0864,0.3573,0.42,1,20605392669.0,2007-07-26
KSA,0.0634,0.2146,0.0624,0.4056,0.2443,0,714637759.0,2015-09-17
TAN,0.0762,0.4298,0.061,0.797,0.3082,0,1373258727.0,2008-04-15
LIT,0.0663,0.3404,0.048,0.6591,0.3266,0,669317935.0,2010-07-23
EWW,0.0633,0.2838,0.0467,0.5177,0.3264,0,3459809176.0,2000-01-03
DBA,0.057,0.1534,0.0455,0.3118,0.1384,0,1416519292.0,2007-01-05
AMLP,0.0641,0.3132,0.0449,0.7142,0.2981,0,4787702428.899997,2010-08-25
INDA,0.0588,0.226,0.0388,0.4386,0.2949,0,6222078128.0,2012-02-03
BNO,0.0579,0.3921,0.0203,0.7518,0.163,0,1263326108.0,2010-06-02
ELV,0.0554,0.3234,0.0166,0.5047,0.2062,0,1362831362.700001,2007-04-30
ANGL,0.0514,0.123,0.0114,0.297,0.3493,0,2631294549.0,2012-04-11
XBI,0.04,0.3282,-0.0306,0.6467,0.3067,0,10928604094.0,2006-02-06
VRP,0.0437,0.1792,-0.0354,0.4604,0.2861,0,721815314.0,2014-05-01
FPE,0.0441,0.1236,-0.0478,0.3335,0.3152,0,3233255997.0,2013-02-12
KRE,0.0322,0.3384,-0.0525,0.5495,0.3355,0,18157157150.0,2006-06-22
EWZ,0.0235,0.3492,-0.0758,0.5621,0.3037,0,47369602086.0,2005-01-03
SCHH,0.0285,0.2385,-0.0901,0.4422,0.3387,0,5388963817.0,2011-01-13
TBF,0.0298,0.1639,-0.123,0.3839,0.1231,0,1649244245.0,2009-08-20
PFFD,0.0231,0.1406,-0.1913,0.3093,0.326,0,1179082080.0,2017-09-13
HYMB,0.023,0.1374,-0.1964,0.2957,0.128,0,1535619761.0,2011-04-14
VWOB,0.0282,0.1101,-0.1976,0.278,0.3298,0,682927617.0,2013-06-04
