ticker,ann_return,ann_vol,sharpe,max_drawdown,avg_abs_corr,is_anchor,vol_combined,start_date
SGOL,0.1472,0.153,0.6352,0.2132,0.3017,0,3943542955.0,2009-09-09
GLD,0.1447,0.1525,0.6214,0.218,0.3002,0,11184438366.0,2004-11-18
IAU,0.1463,0.1557,0.6183,0.2194,0.2984,0,12671797368.0,2005-01-28
BAR,0.146,0.1553,0.6183,0.2142,0.2999,0,1001102016.0,2017-08-31
OUNZ,0.1456,0.1568,0.6097,0.2167,0.299,0,1194032232.0,2014-05-16
PHYS,0.1419,0.1581,0.5811,0.2376,0.2957,0,3616982790.0,2010-02-26
UGL,0.2107,0.3144,0.5112,0.4606,0.3018,0,1232999720.0,2008-12-03
VOO,0.1292,0.1971,0.4019,0.3399,0.3301,1,6146809192.900016,2010-09-09
DXJ,0.1362,0.2193,0.393,0.391,0.2411,0,883621927.0,2006-06-16
EWT,0.149,0.2559,0.3868,0.393,0.2721,0,7589805203.0,2004-01-02
XLU,0.0889,0.2036,0.1912,0.3477,0.203,0,42293408368.0,2000-01-03
FTGC,0.0855,0.2107,0.1687,0.3591,0.2874,0,1483407985.0,2013-10-23
XLP,0.0658,0.1574,0.1006,0.2491,0.2103,0,19027573302.0,2000-01-03
VEA,0.0674,0.2011,0.0864,0.3573,0.3397,1,20605392669.0,2007-07-26
KSA,0.0634,0.2146,0.0624,0.4056,0.1949,0,714637759.0,2015-09-17
DBA,0.057,0.1534,0.0455,0.3118,0.1462,0,1416519292.0,2007-01-05
COMT,0.0561,0.2129,0.0288,0.3923,0.2477,0,876610151.0,2014-10-16
BNO,0.0579,0.3921,0.0203,0.7518,0.1945,0,1263326108.0,2010-06-02
ELV,0.0554,0.3234,0.0166,0.5047,0.1533,0,1362831362.700001,2007-04-30
ANGL,0.0514,0.123,0.0114,0.297,0.2942,0,2631294549.0,2012-04-11
FALN,0.0506,0.1123,0.005,0.2922,0.3108,0,1612811147.0,2016-06-17
DBO,0.0448,0.3333,-0.0156,0.6169,0.2081,0,1505935477.0,2007-01-05
XBI,0.04,0.3282,-0.0306,0.6467,0.2257,0,10928604094.0,2006-02-06
VRP,0.0437,0.1792,-0.0354,0.4604,0.239,0,721815314.0,2014-05-01
FPE,0.0441,0.1236,-0.0478,0.3335,0.2622,0,3233255997.0,2013-02-12
KRE,0.0322,0.3384,-0.0525,0.5495,0.239,0,18157157150.0,2006-06-22
TBF,0.0298,0.1639,-0.123,0.3839,0.1826,0,1649244245.0,2009-08-20
PFFD,0.0231,0.1406,-0.1913,0.3093,0.2697,0,1179082080.0,2017-09-13
HYMB,0.023,0.1374,-0.1964,0.2957,0.1421,0,1535619761.0,2011-04-14
VWOB,0.0282,0.1101,-0.1976,0.278,0.2964,0,682927617.0,2013-06-04
