ticker,ann_return,ann_vol,sharpe,max_drawdown,avg_abs_corr,is_anchor,vol_combined,start_date
GLD,0.1447,0.1525,0.6214,0.218,0.1697,0,11184438366.0,2004-11-18
SLV,0.1745,0.2991,0.4161,0.4065,0.2297,0,36632997281.0,2006-04-28
VOO,0.1292,0.1971,0.4019,0.3399,0.4444,1,6146809192.900016,2010-09-09
DXJ,0.1362,0.2193,0.393,0.391,0.338,0,883621927.0,2006-06-16
GDX,0.1728,0.3631,0.3384,0.4932,0.2362,0,37102484898.0,2006-05-22
URA,0.1518,0.3926,0.2594,0.5429,0.3304,0,3138699244.0,2010-11-05
VT,0.0977,0.1889,0.2525,0.3424,0.464,0,3069437437.0,2008-06-26
XLU,0.0889,0.2036,0.1912,0.3477,0.2293,0,42293408368.0,2000-01-03
XRT,0.0861,0.295,0.1223,0.4702,0.353,0,7061367900.0,2006-06-22
XLP,0.0658,0.1574,0.1006,0.2491,0.2651,0,19027573302.0,2000-01-03
EPI,0.0729,0.2282,0.1004,0.5034,0.3313,0,1220042419.0,2008-02-22
ICLN,0.0798,0.3255,0.0914,0.6832,0.3192,0,6111223915.0,2008-06-25
VEA,0.0674,0.2011,0.0864,0.3573,0.4396,1,20605392669.0,2007-07-26
KSA,0.0634,0.2146,0.0624,0.4056,0.2561,0,714637759.0,2015-09-17
DBA,0.057,0.1534,0.0455,0.3118,0.1563,0,1416519292.0,2007-01-05
EWJ,0.0575,0.1916,0.0391,0.332,0.3779,0,10077318477.0,2000-01-03
INDA,0.0588,0.226,0.0388,0.4386,0.3284,0,6222078128.0,2012-02-03
PDBC,0.0574,0.1965,0.0374,0.4015,0.2305,0,8378516742.0,2014-11-07
VDE,0.0612,0.3293,0.034,0.6929,0.3364,0,1256906192.0,2004-10-01
XLE,0.0595,0.3157,0.0301,0.663,0.3336,0,74898151511.0,2000-01-03
IBB,0.0545,0.2449,0.0185,0.3983,0.3239,0,2447496760.0,2001-02-12
ELV,0.0554,0.3234,0.0166,0.5047,0.2113,0,1362831362.700001,2007-04-30
ANGL,0.0514,0.123,0.0114,0.297,0.3415,0,2631294549.0,2012-04-11
FALN,0.0506,0.1123,0.005,0.2922,0.3521,0,1612811147.0,2016-06-17
VRP,0.0437,0.1792,-0.0354,0.4604,0.2661,0,721815314.0,2014-05-01
ILF,0.0356,0.3111,-0.0461,0.5779,0.3753,0,2825568058.0,2002-02-05
EEM,0.0363,0.2166,-0.0634,0.4226,0.4139,0,56391784209.0,2003-04-14
EWZ,0.0235,0.3492,-0.0758,0.5621,0.3327,0,47369602086.0,2005-01-03
TBF,0.0298,0.1639,-0.123,0.3839,0.1194,0,1649244245.0,2009-08-20
HYMB,0.023,0.1374,-0.1964,0.2957,0.1108,0,1535619761.0,2011-04-14
