ticker,ann_return,ann_vol,sharpe,max_drawdown,avg_abs_corr,is_anchor,vol_combined,start_date
UGL,0.2107,0.3144,0.5112,0.4606,0.1823,0,1232999720.0,2008-12-03
VOO,0.1292,0.1971,0.4019,0.3399,0.5241,1,6146809192.900016,2010-09-09
GDXJ,0.1639,0.4322,0.2636,0.5695,0.2809,0,10880327417.0,2009-11-11
VONV,0.0846,0.1901,0.182,0.3821,0.5498,0,773455457.0,2010-09-22
FVD,0.0715,0.1715,0.1255,0.3525,0.4854,0,1816621288.0,2003-10-09
SPMD,0.0776,0.2299,0.1202,0.4186,0.5317,0,1612018090.1,2007-05-16
VEA,0.0674,0.2011,0.0864,0.3573,0.5028,1,20605392669.0,2007-07-26
VDE,0.0612,0.3293,0.034,0.6929,0.3892,0,1256906192.0,2004-10-01
IBB,0.0545,0.2449,0.0185,0.3983,0.3827,0,2447496760.0,2001-02-12
IYR,0.0467,0.2189,-0.015,0.415,0.4133,0,9757400763.0,2005-01-03
GSG,0.0443,0.2384,-0.0238,0.5764,0.2481,0,1472340652.0,2006-07-21
EPP,0.0396,0.2035,-0.0511,0.393,0.5218,0,696125323.0,2004-01-02
XSOE,0.0336,0.2401,-0.0684,0.4709,0.4529,0,839641099.0,2014-12-10
TBF,0.0298,0.1639,-0.123,0.3839,0.1241,0,1649244245.0,2009-08-20
PFF,0.0294,0.1274,-0.1618,0.3172,0.4024,0,7667957182.0,2007-03-30
