inception_year,count,cumulative,pct,cumulative_pct
2000,25,25,5.0,5.0
2001,7,32,1.4,6.4
2002,8,40,1.6,8.0
2003,6,46,1.2,9.2
2004,25,71,5.0,14.2
2005,19,90,3.8,18.0
2006,26,116,5.2,23.2
2007,56,172,11.2,34.4
2008,26,198,5.2,39.6
2009,34,232,6.8,46.4
2010,31,263,6.2,52.6
2011,27,290,5.4,58.0
2012,13,303,2.6,60.6
2013,27,330,5.4,66.0
2014,23,353,4.6,70.6
2015,19,372,3.8,74.4
2016,11,383,2.2,76.6
2017,12,395,2.4,79.0
2018,10,405,2.0,81.0
2019,10,415,2.0,83.0
2020,10,425,2.0,85.0
2021,12,437,2.4,87.4
2022,23,460,4.6,92.0
2023,14,474,2.8,94.8
2024,24,498,4.8,99.6
2025,2,500,0.4,100.0
