rank,ticker,start_year,end_year,years_observed,min_yearly_return,average_yearly_return,daily_volatility,annualized_volatility,n_daily_returns
1,TBIL,2023,2025,3,0.044533107110981573,0.050333846959249286,0.001118285760837405,0.017752236107282566,852
2,PYLD,2024,2025,2,0.0712802737133813,0.09859777502580369,0.004535289395544147,0.07199548718590958,634
3,SPYI,2023,2025,3,0.18307887794526456,0.19609596490018574,0.00926757645538872,0.1471182153434162,768
4,DFIC,2023,2025,3,0.052133062468257885,0.20168719948217348,0.011593329647515421,0.18403840268710747,946
5,JEPQ,2023,2025,3,0.17581922410884054,0.26037820472871115,0.011803415258230568,0.18737340836701993,918
6,QQQI,2024,2025,2,0.18851404611241285,0.2176164512228862,0.012687240921140952,0.201403705805406,482
7,YMAX,2024,2025,2,0.08719976040730759,0.09124218160718955,0.015242798111959279,0.24197191853405478,491
8,GRNY,2025,2025,1,0.25412730222349467,0.25412730222349467,0.016499923532785413,0.261928165915995,284
9,MAGS,2024,2025,2,0.22997535571902183,0.4667375683127487,0.018610398396322284,0.29543091573902425,684
10,NVDY,2024,2025,2,0.47937680299527385,0.7527640126403315,0.027700591471998,0.43973325722581996,662
11,AAPU,2023,2025,3,0.10039374581338723,0.5036613280130048,0.03243195426086735,0.5148413130364597,850
12,TSLY,2023,2025,3,0.24561828233351135,0.7949904130407583,0.039605354567854474,0.6287155126384737,754
13,NVOX,2025,2025,1,0.7929896907216494,0.7929896907216494,0.14473441463621975,2.2975876036796667,267
14,CONI,2025,2025,1,5.1091440955345275,5.1091440955345275,0.18346210457470272,2.9123706222551324,330
15,ETHU,2025,2025,1,5.778888656315796,5.778888656315796,0.18580493945880766,2.9495619730525036,395
16,SMST,2025,2025,1,11.255936675461742,11.255936675461742,0.21940699086535928,3.482978002432566,339
