rank,ticker,start_year,end_year,years_observed,bad_years,min_yearly_return,average_yearly_return,bad_year_fraction,daily_volatility,annualized_volatility,n_daily_returns
1,JAAA,2021,2025,5,2,0.005234128770823965,0.04576779985832866,0.4,0.0016626396085775493,0.026393585545331815,1305
2,FTSL,2016,2025,10,2,-0.024432353968092513,0.04794263956894875,0.2,0.0034805948965972453,0.055252731065741315,2510
3,UCON,2019,2025,7,2,-0.057191663819610605,0.040651161059251546,0.2857142857142857,0.0040249932471981545,0.06389478696480384,1867
4,SHYG,2016,2025,10,2,-0.05146081769291755,0.055201565402186736,0.2,0.004790452673410925,0.07604607864761896,2510
5,SJNK,2016,2025,10,2,-0.05425670961211526,0.06133897792443723,0.2,0.005011882377668383,0.07956116622970585,2510
6,HYG,2016,2025,10,2,-0.11455442870122534,0.0556111726507707,0.2,0.005462689105180491,0.08671750117181724,2510
7,JNK,2016,2025,10,2,-0.12107786996580938,0.05694689168906734,0.2,0.005590921849147189,0.08875313287464505,2510
8,SPHY,2016,2025,10,2,-0.10471262449229402,0.04216533788015973,0.2,0.00566873250716983,0.08998833877751425,2510
9,HYLB,2017,2025,9,2,-0.10775092877782366,0.046348358760154716,0.2222222222222222,0.005966445012730854,0.09471437828896467,2257
10,USHY,2018,2025,8,2,-0.1147005803028277,0.04836015438826219,0.25,0.006108322063112168,0.0969666066413027,2054
11,FALN,2017,2025,9,2,-0.13806669636927638,0.06109175496610443,0.2222222222222222,0.006746088987423698,0.10709084269820789,2332
12,JEPI,2021,2025,5,1,-0.02773412857716362,0.10102375593583927,0.2,0.007009413717872486,0.11127099320313155,1409
13,FPE,2016,2025,10,2,-0.1277404061759242,0.05531751767218353,0.2,0.007044031440029859,0.11182053250583518,2510
14,ANGL,2016,2025,10,2,-0.13994921725996678,0.08116532628485897,0.2,0.007156743266934809,0.1136097772886727,2510
15,BUFR,2021,2025,5,1,-0.07880547490667766,0.10734024056280836,0.2,0.007671937251504363,0.12178822824943764,1353
16,CWB,2016,2025,10,2,-0.20520371615234334,0.12228810725519287,0.2,0.009292806104629698,0.14751872360875834,2510
17,USMV,2016,2025,10,2,-0.08864947654441535,0.11162821883624123,0.2,0.00957915380727977,0.15206435246699893,2510
18,EEMV,2016,2025,10,2,-0.1395861845422458,0.05919696280566712,0.2,0.009765402289146378,0.15502095545749311,2510
19,GLDM,2019,2025,7,2,-0.06095041322314043,0.19803247674508717,0.2857142857142857,0.009891959306581264,0.15702998582630975,1888
20,VRP,2016,2025,10,2,-0.0900437947622641,0.05454160549583492,0.2,0.010341522176305688,0.1641665751381859,2510
21,AAAU,2021,2025,5,2,-0.06046511627906981,0.19652538160376262,0.4,0.010382914707300643,0.16482366119707498,1405
22,DFAI,2021,2025,5,1,-0.13327012420593531,0.11390064242674117,0.2,0.010463501491433063,0.16610293673571194,1283
23,VIG,2016,2025,10,2,-0.0956440527036373,0.13901371892874678,0.2,0.010501729950109341,0.1667097947036884,2510
24,QYLD,2016,2025,10,2,-0.1952386113218454,0.09008763495496563,0.2,0.010575574162173114,0.16788203522898196,2510
25,DGRW,2016,2025,10,2,-0.06409096993460639,0.14629981485894414,0.2,0.010700403244999617,0.16986363548626524,2510
26,ACWI,2016,2025,10,2,-0.18650690681523308,0.1327447748619083,0.2,0.010745464904843256,0.17057896715992554,2508
27,DIA,2016,2025,10,2,-0.07445818049656294,0.13617490090777684,0.2,0.01083170946906991,0.17194805717317474,2510
28,SCHD,2016,2024,9,2,-0.05854578344652084,0.12823624776418455,0.2222222222222222,0.010932777990241045,0.17355247020755007,2353
29,ESGD,2017,2025,9,2,-0.15668655182171498,0.10215228423266322,0.2222222222222222,0.010965424200216423,0.17407071272461194,2306
30,GSIE,2016,2025,10,2,-0.16146987231223853,0.09722086628038404,0.2,0.011025941118023876,0.1750313890123959,2510
31,DGRO,2016,2025,10,2,-0.08851666516844958,0.13840962410963425,0.2,0.011037885968293075,0.1752210076319571,2510
32,DFAE,2021,2025,5,1,-0.1788015839514363,0.07381110640935713,0.2,0.011042273530376533,0.17529065802076524,1274
33,FDL,2016,2025,10,2,-0.06460296718366898,0.1186640591058469,0.2,0.011112581208344423,0.17640675780773396,2510
34,VONV,2016,2025,10,2,-0.0877747581258832,0.11083661558269167,0.2,0.011145837497083066,0.17693468502492238,2510
35,IDEV,2018,2025,8,2,-0.1554243542435425,0.08696698673518011,0.25,0.011170910157989385,0.17733270117771102,2171
36,VT,2016,2025,10,2,-0.18180933319544235,0.12781917715282512,0.2,0.011194414146085114,0.17770581542162814,2510
37,IWD,2016,2025,10,2,-0.09543847804963645,0.11002392528923033,0.2,0.0111998812250867,0.177792602610245,2510
38,SPY,2016,2025,10,2,-0.1845539404531641,0.1604547120736815,0.2,0.011220726076218032,0.178123504363503,2510
39,IVV,2016,2025,10,2,-0.18439279287613386,0.16410809226789613,0.2,0.011236173073289077,0.17836871784001934,2510
40,EFA,2016,2025,10,2,-0.1499205871701943,0.09196134482673908,0.2,0.011269261225943466,0.1788939759796157,2510
41,NOBL,2016,2025,10,2,-0.07151037027611651,0.10879624464373108,0.2,0.011310860380794324,0.1795543420905307,2510
42,IWB,2016,2025,10,2,-0.19490781492087894,0.15712410400311866,0.2,0.011387056364115185,0.18076391582714485,2510
43,ACWX,2016,2025,10,2,-0.1645587405794947,0.09593977238782182,0.2,0.011394091986607315,0.18087560287174112,2508
44,PRF,2016,2025,10,2,-0.09593539270754226,0.13134725447741574,0.2,0.011410700322923644,0.18113925203724227,2510
45,VOO,2016,2025,10,2,-0.18380813761355907,0.15962605982688122,0.2,0.011467162467186065,0.1820355607904892,2510
46,IXUS,2016,2025,10,2,-0.1671215913495333,0.09892431614648878,0.2,0.01150191245100247,0.18258719968193954,2510
47,VTI,2016,2025,10,2,-0.1969825709866555,0.15634218796583574,0.2,0.0115369147092262,0.18314284330545347,2510
48,VEU,2016,2025,10,2,-0.16127043999623536,0.0966210228790281,0.2,0.011556928820032963,0.18346055746489418,2510
49,SPTM,2016,2025,10,2,-0.18195423916159825,0.1544168420178798,0.2,0.011645745777998064,0.1848704829627798,2508
50,SPLG,2016,2025,9,2,-0.18543058809372504,0.14502991929746617,0.2222222222222222,0.011671012834550857,0.18527158505078756,2377
51,DFAU,2021,2025,5,1,-0.17413036179230046,0.15386405141576193,0.2,0.011690763830342956,0.18558512238885824,1283
52,SCZ,2016,2025,10,2,-0.2167361273706392,0.08737734849366012,0.2,0.011833242924623049,0.18784690789180333,2510
53,VXUS,2016,2025,10,2,-0.16368179553082007,0.09404908457352326,0.2,0.011873013078055415,0.18847823950531287,2510
54,FNDX,2016,2025,10,2,-0.08015787116518625,0.14005453646164473,0.2,0.011887760400194175,0.18871234598661277,2510
55,QUAL,2016,2025,10,2,-0.1988684617711387,0.15163288005102352,0.2,0.011909411297935836,0.18905604333312712,2510
56,VEA,2016,2025,10,2,-0.15854911722757192,0.09706149320828958,0.2,0.012021003115275935,0.19082750851531702,2510
57,XLU,2016,2025,10,2,-0.06978148728118372,0.11575679952073285,0.2,0.012068035288444596,0.19157412111825622,2510
58,SCHF,2016,2025,10,2,-0.1531320836181772,0.10030990714209678,0.2,0.012137887533143881,0.19268299112621984,2510
59,SPHQ,2016,2025,10,2,-0.16079951616581234,0.15192781826599638,0.2,0.012167161007523214,0.19314769312553107,2510
60,ITOT,2016,2025,10,2,-0.20154922162893885,0.15391756667944287,0.2,0.012177056761893717,0.19330478335612944,2510
61,IQLT,2016,2025,10,2,-0.1556077444293371,0.09688230386551365,0.2,0.012201199087433844,0.1936880308928291,2439
62,SCHB,2016,2025,10,2,-0.201177061251813,0.15393324194961322,0.2,0.012204067551936768,0.19373356635514521,2510
63,EPP,2016,2025,10,2,-0.13255651991995132,0.07336103070010494,0.2,0.01223442260181064,0.19421543783315257,2510
64,RSP,2016,2025,10,2,-0.11874712744839189,0.1222048432672899,0.2,0.012241987109911178,0.19433552067649992,2510
65,IEFA,2016,2025,10,2,-0.1593792093523313,0.09375019784793312,0.2,0.012252627721721985,0.19450443515239374,2510
66,XLG,2016,2025,10,2,-0.2521486797802588,0.18451258312488894,0.2,0.012289140033495528,0.19508405013286284,2510
67,BBJP,2019,2025,7,1,-0.17271040150823336,0.10771742712495203,0.14285714285714285,0.012312441644249827,0.1954539517360815,1891
68,IWS,2016,2025,10,2,-0.13143269332545782,0.10806558901206427,0.2,0.012392051640846113,0.19671772125329232,2510
69,BBEU,2019,2025,7,1,-0.15475340899498913,0.12376890218666735,0.14285714285714285,0.012412987306205102,0.19705006463772162,1894
70,MOAT,2016,2025,10,2,-0.14132147352801416,0.16214556555951481,0.2,0.012492358870563618,0.19831004916049838,2510
71,ESGU,2018,2025,8,2,-0.20663513402673905,0.15435832518230896,0.25,0.012509960486633331,0.19858946615325818,2086
72,FNDF,2016,2025,10,2,-0.14912732350117808,0.11238982721509369,0.2,0.012601954309160978,0.20004982281263237,2510
73,IWR,2016,2025,10,2,-0.1715137103194252,0.11799214752058566,0.2,0.012667309552323192,0.2010873051343206,2510
74,SCHC,2016,2025,10,2,-0.22279168862370446,0.09512280169432892,0.2,0.01290147488679369,0.2048045645784078,2510
75,EWC,2016,2025,10,2,-0.18049485998978632,0.13682531453291452,0.2,0.013023330080460796,0.20673895580883644,2510
76,XLI,2016,2025,10,2,-0.13673435793065258,0.14469907776130436,0.2,0.013029552576726378,0.206837734874753,2510
77,SCHK,2018,2025,8,2,-0.19890309128818784,0.15329166033931274,0.25,0.013047739936204738,0.20712645025586102,2065
78,IHI,2016,2025,10,1,-0.1936420017942817,0.14024532078010388,0.1,0.013120818208584732,0.20828653186561927,2510
79,EMXC,2018,2025,8,2,-0.20211491571161988,0.07545632989645024,0.25,0.013138008483744789,0.20855941902387293,1951
80,IJH,2016,2025,10,2,-0.13401578097350542,0.11981778629032207,0.2,0.013211273398535426,0.20972246349004714,2510
81,VO,2016,2025,10,2,-0.17821889169951965,0.12106211700732854,0.2,0.013223345785078958,0.2099141066851985,2510
82,EZU,2016,2025,10,2,-0.1909139292073373,0.10481070043804715,0.2,0.013260499028164459,0.2105038961348211,2510
83,IUSG,2016,2025,10,2,-0.29197819883758025,0.18822997058098329,0.2,0.013268985665716214,0.2106386173293956,2510
84,MDY,2016,2025,10,2,-0.13355698633093427,0.11750879884501537,0.2,0.01327293690488001,0.21070134130658327,2510
85,SPYG,2016,2025,10,2,-0.29564903130713294,0.19079066400625466,0.2,0.01337802998318227,0.21236964220479537,2510
86,IWF,2016,2025,10,2,-0.297570179963329,0.20300817678552824,0.2,0.013515484862689432,0.21455167077080517,2510
87,DYNF,2020,2025,6,1,-0.20776508136319205,0.1789298426279934,0.16666666666666666,0.013554839645151398,0.21517640857457762,1685
88,COWZ,2017,2025,9,2,-0.10998924409436073,0.13457214918216698,0.2222222222222222,0.013587520795739563,0.21569520575667203,2267
89,SPMD,2016,2025,10,2,-0.13407184148150686,0.10886869945951771,0.2,0.013629705702229045,0.21636487038658214,2490
90,SCHM,2016,2025,10,2,-0.1726948407258303,0.11200581647517702,0.2,0.01366453818771915,0.21691781895150064,2510
91,MTUM,2016,2025,10,2,-0.18441452799788338,0.16556504833553426,0.2,0.013679017073700502,0.21714766414090814,2510
92,RDVY,2016,2025,10,2,-0.1396662031749185,0.1591055261597881,0.2,0.013707298335416103,0.2175966152524838,2510
93,IVW,2016,2025,10,2,-0.2999248440575396,0.19322153157458177,0.2,0.013765087410147987,0.21851398837390637,2510
94,IWP,2016,2025,10,2,-0.2613901315901699,0.1440735630059038,0.2,0.013788883001775916,0.21889173168038928,2510
95,VONG,2016,2025,10,2,-0.2969589039315217,0.20604260746855269,0.2,0.013811389694023391,0.21924901434351818,2510
96,KIE,2016,2025,10,2,-0.04783392482810278,0.12988892195449073,0.2,0.01387961228009562,0.22033201432278707,2510
97,SCHG,2016,2025,10,2,-0.3241674802039267,0.2101059408352272,0.2,0.013966980717077013,0.22171894526292218,2510
98,VUG,2016,2025,10,2,-0.3329114818713217,0.2078485557953539,0.2,0.014026892965259318,0.22267002271798514,2510
99,FEZ,2016,2025,10,2,-0.16306988450662563,0.10801194038980402,0.2,0.01406774314041213,0.2233184991447918,2510
100,VBR,2016,2025,10,2,-0.12975502705177178,0.11174568881609784,0.2,0.014084191030613705,0.22357960130718216,2510
101,CEF,2018,2025,8,2,-0.10151515151515156,0.19262252874514316,0.25,0.014087751248197673,0.22363611800922492,1998
102,XLY,2016,2025,10,2,-0.37715227347136804,0.15624234486931518,0.2,0.014098033953406315,0.22379935089394723,2510
