rank,ticker,start_year,end_year,years_observed,bad_years,min_yearly_return,average_yearly_return,bad_year_fraction,weekly_volatility,annualized_weekly_volatility,n_weekly_returns
1,GBIL,2021,2025,5,0,-0.0008486582701108247,0.031052796474623223,0.0,0.0005917518742528788,0.004267183449941346,484
2,SHV,2021,2025,5,0,-0.0009950616631896336,0.03092929716191579,0.0,0.0006141740944170606,0.004428872378964747,521
3,TFLO,2021,2025,5,0,-8.61047825388983e-05,0.03284129219444618,0.0,0.0006747196116194904,0.004865472312510442,521
4,USFR,2021,2025,5,0,-0.0003152658742205938,0.03275838283107568,0.0,0.0011500254798515429,0.008292951671389633,474
5,JPST,2021,2025,5,0,-0.001040827995005822,0.03384106640682192,0.0,0.0016546813387501964,0.011932076822834464,450
6,ICSH,2021,2025,5,0,0.0004792845202905571,0.036477242540438895,0.0,0.0016589472703410627,0.011962838893011444,520
7,FTSM,2021,2025,5,0,-0.0020724514924788107,0.03280130796334344,0.0,0.002042584356627102,0.014729285264559279,521
8,JAAA,2021,2025,5,0,0.005234128770823965,0.04576779985832866,0.0,0.002081585131443722,0.015010523851327576,271
9,MINT,2021,2025,5,0,-0.009910242223041932,0.03288561036789404,0.0,0.0021132370090914117,0.01523876878697449,521
10,GSY,2021,2025,5,0,-0.0019929744736100208,0.03269735862186285,0.0,0.002216823244361279,0.015985739752370057,521
11,SGOV,2021,2025,5,0,0.0003286858858551067,0.03204604008369514,0.0,0.002376721038280785,0.01713877914199076,292
12,PULS,2021,2025,5,0,0.0014013069082228213,0.03970191826998866,0.0,0.002906321173305245,0.020957780026637448,403
13,NEAR,2021,2025,5,0,0.0008825601837243457,0.040075105995188084,0.0,0.0036469060180594867,0.02629821328982336,521
14,BIL,2021,2025,5,0,-0.001201770300095828,0.03264136958180062,0.0,0.003741958143044177,0.026983643910771585,521
15,VNLA,2021,2025,5,0,-0.004902951393900956,0.034141991302298204,0.0,0.003823521232414869,0.02757180371259415,476
16,FLRN,2021,2025,5,0,0.002180278569167582,0.04009735201039728,0.0,0.005034206347423322,0.03630217823380214,521
17,FLOT,2021,2025,5,0,0.002939043658244822,0.041128615977942616,0.0,0.005036662233101545,0.03631988787728116,521
18,FLTR,2021,2025,5,0,0.0033620102502669447,0.04211672364234933,0.0,0.006384564369775032,0.046039748413448614,521
19,DBA,2021,2025,5,0,-0.008966676892846581,0.1334804835492534,0.0,0.019023492397247932,0.13718035455335356,521
20,TBF,2021,2025,5,0,0.014592205822297366,0.1246820758836582,0.0,0.019208111806095957,0.13851166404344836,521
21,HDV,2021,2025,5,0,0.019621998208275038,0.10421491337341822,0.0,0.021212194413136723,0.15296330924335044,521
22,VYM,2021,2025,5,0,-0.009674091193740408,0.1309682446403847,0.0,0.022661193187765178,0.1634121880033652,521
23,SDY,2021,2025,5,0,-0.006361450008337544,0.08990412765367366,0.0,0.023680338373534424,0.1707613484522318,521
24,FDL,2021,2025,5,0,0.03135842943157474,0.14822475627566972,0.0,0.023911803013630127,0.17243046370887552,521
25,SPHD,2021,2025,5,0,0.014250037102808255,0.09817910637183717,0.0,0.025061166694677395,0.18071864308121946,521
26,DVY,2021,2025,5,0,-0.00039184916244583423,0.1270753156544471,0.0,0.025504846272337896,0.18391806201548175,521
27,COWZ,2021,2025,5,0,-0.00126787184669519,0.16247400330355025,0.0,0.028898112163558073,0.20838725033963645,471
28,DXJ,2021,2025,5,0,0.055315514469453264,0.25792629932429517,0.0,0.02910791269325275,0.20990014347450378,521
29,KIE,2021,2025,5,0,0.03611859695284969,0.15464028071919617,0.0,0.030239929272117893,0.218063231114051,521
30,IXC,2021,2025,5,0,0.011737850994196997,0.20830664053734899,0.0,0.03806801200111034,0.27451233844996364,521
31,TBT,2021,2025,5,0,0.00042522381713072654,0.22710029119381722,0.0,0.038329260715720063,0.2763962297223125,521
32,AMLP,2021,2025,5,0,0.08483742435323904,0.23809406800070843,0.0,0.03868843079183477,0.27898624197440025,521
33,IYE,2021,2025,5,0,0.017728616176196033,0.24223922811890156,0.0,0.04111474488505617,0.2964826417213816,521
34,XLE,2021,2025,5,0,0.02898098360655732,0.24959725172705555,0.0,0.04125702530561373,0.29750864042501135,521
35,FENY,2021,2025,5,0,0.03883584326427991,0.2536457713585093,0.0,0.0416583529253175,0.30040265504721503,521
36,VDE,2021,2025,5,0,0.04161729024754157,0.2536853239654161,0.0,0.04194584003243427,0.30247575405870364,521
37,FXN,2021,2025,5,0,-0.0027019141729985874,0.20640452138519408,0.0,0.048998432663624976,0.35333272277213884,521
38,COPX,2021,2025,5,0,-0.009168063073380694,0.24401920329782847,0.0,0.05123876723064715,0.3694880050833246,521
39,DFEN,2021,2025,5,0,0.03737721902333102,0.49775201152646165,0.0,0.11036478207795397,0.7958517615749443,452
