rank,ticker,start_year,end_year,years_observed,min_yearly_return,average_yearly_return,max_drawdown,weekly_volatility,annualized_weekly_volatility,n_weekly_returns
1,JPST,2018,2025,8,-0.001,0.031,-0.032,0.002,0.012,450
2,JAAA,2021,2025,5,0.005,0.046,-0.025,0.002,0.015,271
3,SGOV,2021,2025,5,0.000,0.032,-0.026,0.002,0.017,292
4,PULS,2019,2025,7,0.001,0.035,-0.059,0.003,0.021,403
5,STIP,2016,2025,10,-0.032,0.031,-0.055,0.004,0.027,521
6,VNLA,2017,2025,9,-0.005,0.031,-0.066,0.004,0.028,476
7,VTIP,2016,2025,10,-0.029,0.032,-0.053,0.004,0.029,521
8,FLTR,2016,2025,10,0.000,0.033,-0.148,0.006,0.046,521
9,VCSH,2016,2025,10,-0.055,0.031,-0.112,0.007,0.050,521
10,UCON,2019,2025,7,-0.057,0.041,-0.150,0.009,0.065,394
11,BUFR,2021,2025,5,-0.079,0.107,-0.133,0.014,0.100,281
12,JEPI,2021,2025,5,-0.028,0.101,-0.130,0.015,0.108,293
