ticker,year,n_price_days,start_date,end_date,start_price,end_price,yearly_return
AAAU,2021,252,2021-01-04,2021-12-31,19.35,18.18,-0.06046511627906981
AAAU,2022,251,2022-01-03,2022-12-30,17.91,18.09,0.01005025125628145
AAAU,2023,250,2023-01-03,2023-12-29,18.24,20.435,0.12033991228070184
AAAU,2024,252,2024-01-02,2024-12-31,20.385,25.94,0.2725042923718419
AAAU,2025,250,2025-01-02,2025-12-31,26.32,43.17,0.6401975683890577
AAPU,2023,250,2023-01-03,2023-12-29,11.7501,20.5215,0.7464957745040468
AAPU,2024,252,2024-01-02,2024-12-31,19.309,32.132,0.6640944637215804
AAPU,2025,249,2025-01-02,2025-12-31,30.6035,33.6759,0.10039374581338723
AAXJ,2016,252,2016-01-04,2016-12-30,42.3794,45.701,0.07837770237426689
AAXJ,2017,251,2017-01-03,2017-12-29,46.1503,64.7863,0.40381102614717546
AAXJ,2018,251,2018-01-02,2018-12-31,66.1452,55.045,-0.16781565404594745
AAXJ,2019,252,2019-01-02,2019-12-31,54.6638,64.9158,0.1875464201171526
AAXJ,2020,253,2020-01-02,2020-12-31,66.1693,80.0768,0.21018055200825758
AAXJ,2021,252,2021-01-04,2021-12-31,80.8096,75.4884,-0.0658486120460936
AAXJ,2022,251,2022-01-03,2022-12-30,76.027,60.1083,-0.2093821931682166
AAXJ,2023,250,2023-01-03,2023-12-29,60.9435,62.8965,0.03204607546333915
AAXJ,2024,252,2024-01-02,2024-12-31,61.8288,69.9304,0.13103278730947387
AAXJ,2025,250,2025-01-02,2025-12-31,69.6495,93.12,0.33698016496887995
ACWI,2016,252,2016-01-04,2016-12-30,44.8628,49.5077,0.10353566875005571
ACWI,2017,251,2017-01-03,2017-12-29,49.8926,61.5551,0.23375209950974685
ACWI,2018,251,2018-01-02,2018-12-31,62.1613,55.9383,-0.10011051892415379
ACWI,2019,252,2019-01-02,2019-12-31,55.2844,70.8125,0.28087670301206136
ACWI,2020,253,2020-01-02,2020-12-31,71.5452,82.3809,0.1514525083443754
ACWI,2021,252,2021-01-04,2021-12-31,81.9541,97.7643,0.19291530259010847
ACWI,2022,251,2022-01-03,2022-12-30,98.2725,79.944,-0.18650690681523308
ACWI,2023,249,2023-01-03,2023-12-29,79.5982,97.5538,0.22557796533087426
ACWI,2024,252,2024-01-02,2024-12-31,96.7199,114.5769,0.1846259146256355
ACWI,2025,250,2025-01-02,2025-12-31,114.3526,141.9492,0.24132901219561242
ACWX,2016,252,2016-01-04,2016-12-30,29.116,31.0333,0.06585039153729921
ACWX,2017,251,2017-01-03,2017-12-29,31.2029,39.4743,0.2650843351098775
ACWX,2018,251,2018-01-02,2018-12-31,39.909,33.968,-0.14886366483750524
ACWX,2019,252,2019-01-02,2019-12-31,33.8465,41.1184,0.2148493935857474
ACWX,2020,253,2020-01-02,2020-12-31,41.6207,45.4836,0.09281199018757502
ACWX,2021,252,2021-01-04,2021-12-31,45.5882,48.8273,0.07105128081389478
ACWX,2022,251,2022-01-03,2022-12-30,49.1083,41.0271,-0.1645587405794947
ACWX,2023,249,2023-01-03,2023-12-29,41.2522,47.3881,0.14874115804732835
ACWX,2024,252,2024-01-02,2024-12-31,46.8124,49.84,0.06467517153574698
ACWX,2025,250,2025-01-02,2025-12-31,49.7349,67.13,0.3497564084777489
AGG,2016,252,2016-01-04,2016-12-30,80.4948,82.4521,0.024315856427992832
AGG,2017,251,2017-01-03,2017-12-29,82.4704,85.3943,0.03545393256247098
AGG,2018,251,2018-01-02,2018-12-31,85.2732,85.4792,0.0024157648592992853
AGG,2019,252,2019-01-02,2019-12-31,85.5101,92.7603,0.0847876449682552
AGG,2020,253,2020-01-02,2020-12-31,92.9225,99.6394,0.07228496865667622
AGG,2021,252,2021-01-04,2021-12-31,99.5129,97.7488,-0.017727349921467406
