strategy,ann_return,total_return,cagr,ann_vol,sharpe,max_drawdown,calmar_ratio,final_value,n_etfs,budget,min_weight,max_weight,nonzero_positions,top_weight,effective_n
max_sharpe,0.0653,0.9176,0.0675,0.0531,0.2878,0.1265,0.5333,57527.24,10,30000,0.05,0.2,10,0.15000000000000008,8.66
shrinkage_sharpe,0.0654,0.92,0.0676,0.0534,0.2885,0.1273,0.5311,57600.51,10,30000,0.05,0.2,10,0.15000000000000002,8.67
bl_momentum,0.0592,0.8041,0.061,0.0496,0.1851,0.1225,0.4977,54124.13,10,30000,0.05,0.2,10,0.15,8.81
max_diversification,0.0474,0.6048,0.0486,0.0367,-0.0699,0.1017,0.4778,48144.06,10,30000,0.05,0.2,10,0.15000000000000047,9.09
robust_mv,0.0695,1.0004,0.072,0.0649,0.3008,0.1555,0.4631,60013.08,10,30000,0.05,0.2,10,0.1500000000000001,8.33
min_variance,0.0435,0.5429,0.0444,0.0334,-0.1946,0.0963,0.4614,46288.08,10,30000,0.05,0.2,10,0.15000000000000002,8.72
risk_parity,0.0474,0.6036,0.0485,0.0374,-0.0707,0.1055,0.4595,48107.84,10,30000,0.05,0.2,10,0.1413170712461313,9.37
equal_weight,0.0556,0.7414,0.0572,0.0488,0.1153,0.1302,0.4393,52242.64,10,30000,0.05,0.2,10,0.1,10.0
kelly_half,0.07,1.0107,0.0726,0.0683,0.2935,0.1695,0.428,60320.78,10,30000,0.05,0.2,10,0.15000000000000005,8.0
black_litterman,0.0696,1.0014,0.0721,0.0686,0.2852,0.1689,0.4265,60041.6,10,30000,0.05,0.2,10,0.15000000000000002,8.0
hrp,0.0439,0.55,0.0449,0.0358,-0.1693,0.1055,0.4257,46499.96,10,30000,0.05,0.2,10,0.14833118128699002,8.91
min_cvar,0.0432,0.538,0.0441,0.0348,-0.1965,0.1062,0.4153,46141.23,10,30000,0.05,0.2,10,0.15000000000000002,8.75
