ticker,equal_weight,min_variance,max_sharpe,risk_parity,max_diversification,hrp,black_litterman,bl_momentum,min_cvar,kelly_half,robust_mv,shrinkage_sharpe,equal_weight_usd,min_variance_usd,max_sharpe_usd,risk_parity_usd,max_diversification_usd,hrp_usd,black_litterman_usd,bl_momentum_usd,min_cvar_usd,kelly_half_usd,robust_mv_usd,shrinkage_sharpe_usd
UUP,0.1,0.142167176990679,0.15000000000000008,0.1413170712461313,0.15000000000000047,0.0924831071921842,0.05,0.06820711227012059,0.10653109446442581,0.04999999999999999,0.09893690985144174,0.15000000000000002,3000.0,4265.02,4500.0,4239.51,4500.0,2774.49,1500.0,2046.21,3195.93,1500.0,2968.11,4500.0
VOO,0.1,0.05,0.15000000000000008,0.0655590270348617,0.054770991790443896,0.05500986973206399,0.15000000000000002,0.09700513066501543,0.05,0.15000000000000005,0.1500000000000001,0.15,3000.0,1500.0,4500.0,1966.77,1643.13,1650.3,4500.0,2910.15,1500.0,4500.0,4500.0,4500.0
PHYS,0.1,0.06167963279197357,0.15000000000000002,0.07684626653079758,0.08555903895116285,0.05755998662651633,0.15000000000000002,0.14999999999999997,0.05581703136794059,0.15000000000000005,0.1500000000000001,0.15000000000000002,3000.0,1850.39,4500.0,2305.39,2566.77,1726.8,4500.0,4500.0,1674.51,4500.0,4500.0,4500.0
LMBS,0.1,0.15,0.116129582307651,0.1404007381430023,0.15000000000000047,0.14833118128699002,0.05,0.15,0.15000000000000002,0.04999999999999999,0.05,0.1136589270251577,3000.0,4500.0,3483.89,4212.02,4500.0,4449.94,1500.0,4500.0,4500.0,1500.0,1500.0,3409.77
VTIP,0.1,0.15000000000000002,0.10089420585639562,0.12066381202558091,0.13285288854375227,0.14680035140433567,0.05,0.09404994425950103,0.12334198999027617,0.04999999999999999,0.10106309014855772,0.10050872170500053,3000.0,4500.0,3026.83,3619.91,3985.59,4404.01,1500.0,2821.5,3700.26,1500.0,3031.89,3015.26
BSCP,0.1,0.11464096596890776,0.09865430819165935,0.10252103643702354,0.10482148357279478,0.11819249625347515,0.05,0.04999999999999999,0.12497028457704928,0.14999999999999977,0.1500000000000001,0.09928166470620742,3000.0,3439.23,2959.63,3075.63,3144.64,3545.77,1500.0,1500.0,3749.11,4500.0,4500.0,2978.45
VEA,0.1,0.05398010638125788,0.0843219036442939,0.0662677905686041,0.07245392064085607,0.05456223080566149,0.14999999999999997,0.08185406205877511,0.05,0.15000000000000005,0.1500000000000001,0.08655068656363415,3000.0,1619.4,2529.66,1988.03,2173.62,1636.87,4500.0,2455.62,1500.0,4500.0,4500.0,2596.52
AGG,0.1,0.09003815205824961,0.050000000000000024,0.0964044939876264,0.08853731596728698,0.1010856154405324,0.05000000000000003,0.10457281437749347,0.07154303374800897,0.04999999999999999,0.05000000000000001,0.050000000000000024,3000.0,2701.14,1500.0,2892.13,2656.12,3032.57,1500.0,3137.18,2146.29,1500.0,1500.0,1500.0
FLTR,0.1,0.06737225495788524,0.050000000000000024,0.08868257747889619,0.08098601515973532,0.09009215380188451,0.14999999999999997,0.0543109363690943,0.1177965658522992,0.15000000000000005,0.050000000000000135,0.05000000000000004,3000.0,2021.17,1500.0,2660.48,2429.58,2702.76,4500.0,1629.33,3533.9,4500.0,1500.0,1500.0
FLOT,0.1,0.12012171085104698,0.05,0.10133718654747603,0.08001834537396692,0.13588300745635623,0.15000000000000002,0.15,0.15,0.04999999999999999,0.05,0.0500000000000001,3000.0,3603.65,1500.0,3040.12,2400.55,4076.49,4500.0,4500.0,4500.0,1500.0,1500.0,1500.0
